CellNum,cycle_lives,SurfFit_p1,SurfFit_p2,SurfFit_p3,slope_2pt9V,int_2pt9V,slope_2pt9V_corr,int_2pt9V_corr,heatmap_mean_abs,heatmap_mean,heatmap_var,heatmap_mean_abs_corr,heatmap_mean_corr,heatmap_var_corr,DeltaQ_min,DeltaQ_mean,DeltaQ_var,DeltaQ_skew,DeltaQ_kurt,DeltaQ_2V,Q_cycle2,Q_lastcycle,Qmax_minus_Q2,chargetime,Tmax,Tmin,Qlinfit_allcycles_int,Qlinfit_allcycles_slope,Qlinfit_last10cycles_int,Qlinfit_last10cycles_slope,IR_min,IR_cycle2,IR_diff,log_SurfFit_p1,log_SurfFit_p2,log_SurfFit_p3,log_slope_2pt9V,log_int_2pt9V,log_slope_2pt9V_corr,log_int_2pt9V_corr,log_heatmap_mean_abs,log_heatmap_mean,log_heatmap_var,log_heatmap_mean_abs_corr,log_heatmap_mean_corr,log_heatmap_var_corr,log_DeltaQ_min,log_DeltaQ_mean,log_DeltaQ_var,log_DeltaQ_skew,log_DeltaQ_kurt,log_DeltaQ_2V,log_Q_cycle2,log_Q_lastcycle,log_Qmax_minus_Q2,log_chargetime,log_Tmax,log_Tmin,log_Qlinfit_allcycles_int,log_Qlinfit_allcycles_slope,log_Qlinfit_last10cycles_int,log_Qlinfit_last10cycles_slope,log_IR_min,log_IR_cycle2,log_IR_diff
85,1009,-0.000722906519160334,-0.00341792694992816,0.00155621865303172,-0.000222120079253426,0.956463323278687,-0.000222120079253419,0.00944011011960007,0.746087395490535,0.746085929611074,0.17611497271408,0.00238916877471832,-0.00047160663432645,1.22790862914227e-05,-0.0173002880301811,-0.00634707146671309,3.53001926379887e-05,-0.159762743173137,2.1948881489806,-0.00273312710960316,1.0674551,1.0700129,0.00391609999999987,10.044531,33.974361,30.6426522338728,-6.36838610825377e-07,1.0705045687334,-1.48424242428087e-06,1.07020531272728,0.015180224,0.015398955,-0.000128412000000001,-3.14091785877413,-2.4662372235293,-2.80792938348145,-3.65341218024125,-0.019331678854746,-3.65341218024127,-2.02502293959433,-0.127210296982855,-0.127211150266251,-0.754203720178761,-2.62175316990695,-3.32642009409624,-4.91083394861479,-1.76194666630028,-2.19742661159239,-4.45222292460121,-0.796524491109761,0.341412393590342,-2.56334017009454,0.0283496165004911,0.0293890135403922,-2.40714622675306,1.00192966344692,1.53115129714011,1.48632635236676,-6.19597061367481,0.0295885251301969,-5.82849515907794,0.029467102573961,-1.8187218199263,-1.81250875014616,-3.89139438989435
86,1063,-0.00060424520369395,-0.00319346591176677,0.00157124424183432,-0.000226503909040127,0.962577020521861,-0.000226503909040117,0.0097017731909569,0.748710294444531,0.748708998527769,0.175042279042125,0.00234867714764273,-0.000532504161464845,1.23606649064944e-05,-0.0169992153787134,-0.00650638471328971,3.1938967404322e-05,-0.256435814176309,2.08206773471516,-0.00265541786276668,1.0650603,1.0671198,0.00367959999999989,10.0411386666666,38.707848,31.221146,-1.15831579843272e-05,1.06836897358189,-7.01212121276098e-07,1.06712906363637,0.014931546,0.015162034,-0.000102823,-3.21878678819796,-2.49573771530077,-2.80375630086949,-3.64492429846392,-0.0165645103915458,-3.64492429846394,-2.01314888257197,-0.125686195468571,-0.125686947174525,-0.756857040816411,-2.62917667783019,-3.27367699390959,-4.90795816699359,-1.76957112359579,-2.18666026107889,-4.49567912883167,-0.591021320756361,0.318494854057574,-2.57586712760914,0.0273741967098827,0.0282131781483116,-2.43419938981417,1.00178296466257,1.58779902697112,1.49444884018514,-4.93617302021213,0.0287212672210726,-6.15415058522253,0.0282169482298855,-1.82589522345322,-1.81924253381464,-3.98790972915563
87,1115,-0.000574296337572117,-0.00314309903609394,0.00155908396785288,-0.000280133028868751,0.971399413336644,-0.000278950749936836,0.01312609918814,0.750514056813769,0.750512679600112,0.17512165679471,0.00252129549084124,-0.00026403509493568,1.50119789574339e-05,-0.0217378096689226,-0.00818502794081159,4.9249554633019e-05,-0.521702195641087,2.05790489557339,-0.00290651997482194,1.0628892,1.0640287,0.00264500000000001,10.0420653333334,40.076626,31.780437,-1.00835921007831e-05,1.06521320928158,-1.61230303030912e-05,1.06540442909091,0.014885032,0.015006617,5.60549999999993e-05,-3.24086395331189,-2.50264193455624,-2.80713049430882,-3.55263568300155,-0.0126021631491007,-3.55447246668598,-1.88186431829492,-0.124641169190887,-0.124641966133776,-0.75666014263818,-2.59837625288702,-3.57833834387286,-4.82356205301706,-1.66278421814409,-2.08697983372063,-4.30759769250235,-0.282577335497672,0.31342530031851,-2.53662668804386,0.0264879942160405,0.0269533423232495,-2.57757432362879,1.00182304255255,1.60289115169997,1.50215986472107,-4.99638473062372,0.0274365433119003,-4.79255332976239,0.0275144978981686,-1.82725022736536,-1.823717201416,-4.25138564309469
88,1048,-0.000667161797477117,-0.00299618791768656,0.00152389668288544,-0.000237727470009578,0.976123465870106,-0.000237727470009562,0.00997195024714928,0.756107105660743,0.756105308481346,0.177471625639451,0.00235249849436079,-0.000553003230774349,1.2672055984789e-05,-0.0194629571444708,-0.00759074971751544,4.27579492988033e-05,-0.489713745069658,1.94271381898257,-0.00231176987517778,1.0724765,1.0741224,0.00278849999999986,10.0450313333334,33.3935783078795,30.8632564241543,-1.92421859038539e-06,1.07469622079673,-1.08866666667268e-05,1.07520746000001,0.015085269,0.015246842,-6.73340000000005e-05,-3.17576882990612,-2.52343095163513,-2.81704447628628,-3.6239206315479,-0.0104952467238559,-3.62392063154793,-2.00121989697958,-0.121416680553373,-0.121417712822501,-0.75087107254272,-2.6284706458565,-3.25727233143785,-4.89715291704947,-1.71079117362796,-2.11971532791214,-4.36898313203133,-0.310057706224519,0.288408829426037,-2.63605539988586,0.0303877847428789,0.0310537735569449,-2.55462935117244,1.00195129577541,1.52366295862016,1.48944174714608,-5.71574559383364,0.0312857216693946,-4.96310507431661,0.0314922689404029,-1.82144694109562,-1.81682010018606,-4.17176558534896
89,828,-0.000761252901820066,-0.0039905218162764,0.00194556047529034,-0.000255471570518842,0.937693117237501,-0.000255471570518835,0.0110092743895332,0.731189615516099,0.731187753918314,0.169942755162032,0.0028335755181189,-0.000392434795829151,1.77005470960709e-05,-0.0195656034639488,-0.00790066954976225,4.75653974233639e-05,-0.136167284552499,1.86109280867,-0.00234916066766377,1.0514506,1.0525787,0.00260520000000009,10.04191,40.1955438251829,31.6056189396194,-1.27838014981194e-05,1.05386758183521,-2.3163636363918e-06,1.05269998909091,0.015130546,0.015374157,-0.000167233999999999,-3.1184710388687,-2.3989703105509,-2.71095526515492,-3.59265742215844,-0.0279392717457836,-3.59265742215845,-1.95824130400794,-0.135969985157268,-0.135971090865907,-0.769697345115743,-2.54766520840972,-3.40623249220283,-4.75201331007137,-1.70850675256671,-2.10233610245064,-4.32270887023957,-0.865927223150135,0.269768030996562,-2.62908727922342,0.0217888731693821,0.0222545773798524,-2.58415893049794,1.00181632471822,1.60417790882066,1.49976429962911,-4.89333998153295,0.0227860453252141,-5.63519326148963,0.0223046184344921,-1.82014539976871,-1.81320868825403,-3.77667542240383
90,667,-0.00115925251943829,-0.00938060073857096,0.00264677996064527,-0.000560059140747427,0.960498557772094,-0.000560059140747414,0.0259069717438924,0.736242642702804,0.736241849766743,0.170637438290573,0.00679997964690885,0.000203581753739956,8.63243187528746e-05,-0.0446662361714317,-0.023622577720507,0.00021088999144943,0.501114551769991,2.14859991284568,-0.0192550768226905,1.0626124,1.0460863,0.000459200000000104,10.0624716666666,37.335846,30.9430611720884,-0.000202575383043919,1.06408703503575,-0.000167706666666698,1.06115582,0.013516996,0.013527169,0.000320147999999999,-2.9358219515659,-2.02776934828487,-2.57728216215528,-3.25176611023646,-0.0175032829127421,-3.25176611023647,-1.58658334856486,-0.132979032102348,-0.13297949983937,-0.767925677393481,-2.16749238718324,-3.69126114875744,-4.06386684029429,-1.35002064208484,-1.62667271346637,-3.67594403079359,-0.300062985679696,0.332155553779127,-1.71545474431707,0.0263748795392315,0.0195675144239415,-3.33799812060998,1.00270467051603,1.57212599653662,1.49056327589157,-3.69341333122523,0.0269771517277076,-3.77544967299909,0.0257791603362803,-1.86911981472438,-1.86879308413589,-3.49464920691705
91,1836,-0.000653254823273479,-0.00253680368212122,0.00136264067485234,-0.000169153571252993,0.968112616785509,-0.000169153571252987,0.00673897818951069,0.751327950520379,0.751325767635885,0.177278077461233,0.00183735647292192,-0.000502096914089715,7.72325276950265e-06,-0.0145661314463266,-0.00565389729708106,2.31776716570186e-05,-0.413308554481473,1.87538274369096,-0.00170252329443121,1.0675218,1.069891,0.00339719999999999,11.0415773333333,34.6000819809465,31.0002233423916,1.37623425264179e-06,1.07017446850528,-4.11260606060934e-05,1.07342077818182,0.015372629,0.015535541,-3.54029999999998e-05,-3.18491737499777,-2.59571314061051,-2.86561865150386,-3.77171882874153,-0.014074119960493,-3.77171882874155,-2.17140594920635,-0.124170454457229,-0.12417171624453,-0.751344966746932,-2.73580657629958,-3.29921244781093,-5.11219975117694,-1.83665577524426,-2.24765208472448,-4.63493019379508,-0.383725605786156,0.273089915535567,-2.76890693722797,0.028376752571099,0.0293395342180719,-2.46887888458727,1.0430311185228,1.53907712780522,1.49136482273811,-5.86130763734255,0.0294545856594107,-4.38588288881256,0.0307699976608836,-1.81325185386939,-1.80867361854523,-4.45095993491653
92,828,-0.000942263299594082,-0.00372212921628015,0.00180649147660982,-0.000254735153472559,0.953352630395617,-0.000254735153472553,0.0106301927730178,0.742762731442671,0.742760951575286,0.175008804633707,0.0026206485276455,-0.000559901796312546,1.50554297183299e-05,-0.0227774278034976,-0.0095110771858236,5.74324748404946e-05,-0.286238336416168,1.77780245723783,-0.00242629700060282,1.0647362,1.0674778,0.00397819999999993,10.04495,35.5458971642776,30.969942,1.96818862785569e-06,1.06800181613211,-8.88727272731884e-06,1.06841448181819,0.01520093,0.015438134,-0.000172680999999999,-3.02582772397699,-2.42920855411139,-2.74316408317985,-3.59391111822569,-0.0207464308323861,-3.59391111822571,-1.97345885970071,-0.129149895366895,-0.129150936059268,-0.756940101555732,-2.58159122122798,-3.25188813917161,-4.82230684416078,-1.6424953212499,-2.02177029385473,-4.24084246899808,-0.543272200838252,0.249883502135994,-2.61505603865984,0.0272420199102013,0.0283588519052568,-2.40031338694488,1.00194777933433,1.55078948012222,1.49094039201796,-5.70593328186444,0.0285719912089066,-5.05123149225749,0.0287397660313843,-1.81812984090308,-1.81140519379803,-3.76275544499826
93,1039,-0.00113641869300166,-0.00458914667963716,0.00198239353080156,-0.000291908219643222,0.963002634506873,-0.000291908219643212,0.0124554623110073,0.747184038915344,0.747181755592012,0.176692481015181,0.00317758091902485,-0.000633340584564869,2.06916562405951e-05,-0.0253285293652229,-0.0122069543512986,7.65757460591625e-05,-0.0732757981600807,1.67450769150546,-0.00407147568395549,1.0694826,1.0724733,0.00388809999999995,10.0417493333333,35.6854391223452,31.0201248034565,4.3675042560422e-06,1.07270423974804,-1.99242424243105e-05,1.07438083272728,0.015742281,0.015903223,-2.9396000000001e-05,-2.94446163116109,-2.33826806103731,-2.70281012821063,-3.53475367583955,-0.0163725247651514,-3.53475367583956,-1.90464014806379,-0.12657241392602,-0.126573741090664,-0.752781931099318,-2.49790338106081,-3.19836268142186,-4.68420474532447,-1.59639002565004,-1.91339267949654,-4.11590876327361,-1.13503944229068,0.223887146722531,-2.39024815459716,0.0291737231894944,0.0303864889154967,-2.41026257376385,1.0018093761193,1.55249104527784,1.49164354078073,-5.35976666313387,0.0304799971279928,-4.70061818271461,0.0311582517874003,-1.80293233970626,-1.79851485119725,-4.53171176129238
94,1078,-0.000742801576096642,-0.00261518316980805,0.00118316155460599,-0.000167116618299533,0.948114718699276,-0.000167116618299522,0.00639337274603538,0.740497782432177,0.740495959190323,0.174620291662716,0.00189517399712897,-0.000530896178453763,8.36795663916607e-06,-0.0159065102936647,-0.00651610391604599,2.74209771956933e-05,-0.290657187220846,1.85074711962684,-0.00250664931977918,1.0617746,1.0640678,0.00322620000000007,11.0450033333333,35.2088774232028,30.437134,1.73857507660814e-06,1.06437244240041,-1.40248484848883e-05,1.06534185454546,0.015318613,0.015551002,-0.000143863999999999,-3.1291271834334,-2.58249788735083,-2.92695595065226,-3.77698036113636,-0.0231391113076977,-3.77698036113639,-2.19426997461709,-0.130476237721991,-0.130477307036268,-0.757905290727258,-2.72235091101306,-3.27499040082651,-5.07738057888546,-1.79842508914292,-2.18601199836514,-4.56191707240809,-0.536618933565114,0.267347082149259,-2.6009064195869,0.0260323318435416,0.0269693011054235,-2.49130871313923,1.04316585127563,1.54665217852998,1.48340375629223,-5.75980655050696,0.0270936217339467,-4.85310182187447,0.0274889896712944,-1.81478055544204,-1.80824162277534,-3.84204786872746
